,content,page_number,pdf_name,t_x1,t_x2,t_y1,t_y2,x1,x2,y1,y2
0,THRESHOLD FOR RELEASES,1,eu-001,100,482,451,543,316,441,533,543
1,"to air
kg/year",1,eu-001,100,482,451,543,280,316,512,530
2,"to water
kg/year",1,eu-001,100,482,451,543,365,403,512,530
3,"to land
kg/year",1,eu-001,100,482,451,543,446,482,512,530
4,Carbon dioxide (CO2),1,eu-001,100,482,451,543,100,197,502,510
5,100 million,1,eu-001,100,482,451,543,276,320,502,510
6,-,1,eu-001,100,482,451,543,382,385,502,510
7,-,1,eu-001,100,482,451,543,462,465,502,510
8,Hydro-fluorocarbons (HFCs),1,eu-001,100,482,451,543,100,227,492,500
9,100,1,eu-001,100,482,451,543,290,306,492,500
10,-,1,eu-001,100,482,451,543,382,385,492,500
11,-,1,eu-001,100,482,451,543,462,465,492,500
12,Methane (CH4),1,eu-001,100,482,451,543,100,168,482,490
13,100 000,1,eu-001,100,482,451,543,281,315,482,490
14,-,1,eu-001,100,482,451,543,382,385,482,490
15,-,1,eu-001,100,482,451,543,462,466,482,490
16,Nitrous oxide (N2O),1,eu-001,100,482,451,543,100,191,471,479
17,10 000,1,eu-001,100,482,451,543,284,312,471,479
18,-,1,eu-001,100,482,451,543,382,385,471,479
19,-,1,eu-001,100,482,451,543,462,466,471,479
20,Perfluorocarbons (PFCs),1,eu-001,100,482,451,543,100,210,461,469
21,100,1,eu-001,100,482,451,543,290,306,461,469
22,-,1,eu-001,100,482,451,543,382,385,461,469
23,-,1,eu-001,100,482,451,543,462,465,461,469
24,Sulphur hexafluoride (SF6),1,eu-001,100,482,451,543,100,222,451,459
25,50,1,eu-001,100,482,451,543,293,303,451,459
26,-,1,eu-001,100,482,451,543,382,385,451,459
27,-,1,eu-001,100,482,451,543,462,465,451,459
28,THRESHOLD FOR RELEASES,1,eu-001,101,483,243,415,326,451,405,415
29,"to air
kg/year",1,eu-001,101,483,243,415,296,333,385,402
30,"to water
kg/year",1,eu-001,101,483,243,415,372,410,385,402
31,"to land
kg/year",1,eu-001,101,483,243,415,447,483,385,402
32,Ammonia (NH3),1,eu-001,101,483,243,415,101,174,374,382
33,10 000,1,eu-001,101,483,243,415,300,329,374,382
34,-,1,eu-001,101,483,243,415,389,393,374,382
35,-,1,eu-001,101,483,243,415,463,467,374,382
36,Carbon monoxide (CO),1,eu-001,101,483,243,415,101,204,364,372
37,500 000,1,eu-001,101,483,243,415,298,331,364,372
38,-,1,eu-001,101,483,243,415,389,393,364,372
39,-,1,eu-001,101,483,243,415,463,467,364,372
40,"Chlorine and inorganic compounds
(as HCl)",1,eu-001,101,483,243,415,101,257,344,362
41,10 000,1,eu-001,101,483,243,415,300,329,349,357
42,-,1,eu-001,101,483,243,415,389,393,349,357
43,-,1,eu-001,101,483,243,415,463,467,349,357
44,Chlorofluorocarbons (CFCs),1,eu-001,101,483,243,415,101,226,334,342
45,1,1,eu-001,101,483,243,415,312,317,334,342
46,-,1,eu-001,101,483,243,415,389,393,334,342
47,-,1,eu-001,101,483,243,415,463,467,334,342
48,"Flourine and inorganic compounds
(as HF)",1,eu-001,101,483,243,415,101,256,314,332
49,5 000,1,eu-001,101,483,243,415,303,326,319,327
50,-,1,eu-001,101,483,243,415,389,393,319,327
51,-,1,eu-001,101,483,243,415,463,467,319,327
52,Halons,1,eu-001,101,483,243,415,101,132,304,312
53,1,1,eu-001,101,483,243,415,312,317,304,312
54,-,1,eu-001,101,483,243,415,389,393,304,312
55,-,1,eu-001,101,483,243,415,463,467,304,312
56,Hydrochlorofluorocarbons (HCFCs),1,eu-001,101,483,243,415,101,258,294,302
57,1,1,eu-001,101,483,243,415,312,317,294,302
58,-,1,eu-001,101,483,243,415,389,393,294,302
59,-,1,eu-001,101,483,243,415,463,467,294,302
60,Hydrogen Cyanide (HCN),1,eu-001,101,483,243,415,101,214,283,291
61,200,1,eu-001,101,483,243,415,307,322,283,291
62,-,1,eu-001,101,483,243,415,389,393,283,291
63,-,1,eu-001,101,483,243,415,463,467,283,291
64,Nitrogen oxides (NOx/NO2),1,eu-001,101,483,243,415,101,228,273,281
65,100 000,1,eu-001,101,483,243,415,298,331,273,281
66,-,1,eu-001,101,483,243,415,389,393,273,281
67,-,1,eu-001,101,483,243,415,463,467,273,281
68,"Non-methane volatile organic
compounds (NMVOC)",1,eu-001,101,483,243,415,101,235,253,271
69,100 000,1,eu-001,101,483,243,415,298,331,258,266
70,-,1,eu-001,101,483,243,415,389,393,258,266
71,-,1,eu-001,101,483,243,415,463,467,258,266
72,Sulphur oxides (SOx/SO2),1,eu-001,101,483,243,415,101,221,243,251
73,150 000,1,eu-001,101,483,243,415,298,331,243,251
74,-,1,eu-001,101,483,243,415,389,393,243,251
75,-,1,eu-001,101,483,243,415,463,467,243,251
76,THRESHOLD FOR RELEASES,1,eu-001,102,476,105,207,320,445,197,207
77,"to air
kg/year",1,eu-001,102,476,105,207,292,329,177,195
78,"to water
kg/year",1,eu-001,102,476,105,207,367,405,177,195
79,"to land
kg/year",1,eu-001,102,476,105,207,440,476,177,195
80,Arsenic and compounds (as As),1,eu-001,102,476,105,207,102,244,167,175
81,20,1,eu-001,102,476,105,207,305,316,167,175
82,5,1,eu-001,102,476,105,207,383,388,167,175
83,5,1,eu-001,102,476,105,207,455,460,167,175
84,Cadmium and compounds (as Cd),1,eu-001,102,476,105,207,102,253,156,164
85,10,1,eu-001,102,476,105,207,305,316,156,164
86,5,1,eu-001,102,476,105,207,383,388,156,164
87,5,1,eu-001,102,476,105,207,455,460,156,164
88,Chromium and compounds (as Cr),1,eu-001,102,476,105,207,102,255,146,154
89,100,1,eu-001,102,476,105,207,303,318,146,154
90,50,1,eu-001,102,476,105,207,381,391,146,154
91,50,1,eu-001,102,476,105,207,453,463,146,154
92,Copper and compounds (as Cu),1,eu-001,102,476,105,207,102,243,136,144
93,100,1,eu-001,102,476,105,207,303,318,136,144
94,50,1,eu-001,102,476,105,207,381,391,136,144
95,50,1,eu-001,102,476,105,207,453,463,136,144
96,Lead and compounds (as Pb),1,eu-001,102,476,105,207,102,232,126,134
97,200,1,eu-001,102,476,105,207,303,318,126,134
98,20,1,eu-001,102,476,105,207,381,391,126,134
99,20,1,eu-001,102,476,105,207,453,463,126,134
100,Mercury and compounds (as Hg),1,eu-001,102,476,105,207,102,248,116,123
101,10,1,eu-001,102,476,105,207,305,316,116,123
102,1,1,eu-001,102,476,105,207,383,388,116,123
103,1,1,eu-001,102,476,105,207,455,460,116,123
104,Nickel and compounds (as Ni),1,eu-001,102,476,105,207,102,236,105,113
105,50,1,eu-001,102,476,105,207,305,316,105,113
106,20,1,eu-001,102,476,105,207,381,391,105,113
107,20,1,eu-001,102,476,105,207,453,463,105,113
108,Zinc and compounds (as Zn),1,eu-001,102,476,105,207,102,229,95,103
109,200,1,eu-001,102,476,105,207,303,318,95,103
110,100,1,eu-001,102,476,105,207,378,393,95,103
111,100,1,eu-001,102,476,105,207,450,465,95,103
112,THRESHOLD FOR RELEASES,2,eu-001,102,480,482,747,333,458,737,747
113,"to air
kg/year",2,eu-001,102,480,482,747,305,342,716,734
114,"to water
kg/year",2,eu-001,102,480,482,747,371,409,716,734
115,"to land
kg/year",2,eu-001,102,480,482,747,444,480,716,734
116,"1,2,3,4,5,6- hexachlorocyclohexane
(HCH)",2,eu-001,102,480,482,747,102,262,696,714
117,10,2,eu-001,102,480,482,747,318,329,701,709
118,1,2,eu-001,102,480,482,747,388,393,701,709
119,1,2,eu-001,102,480,482,747,460,465,701,709
120,Alachlor,2,eu-001,102,480,482,747,102,138,686,694
121,-,2,eu-001,102,480,482,747,322,325,686,694
122,1,2,eu-001,102,480,482,747,388,393,686,694
123,1,2,eu-001,102,480,482,747,460,465,686,694
124,Aldrin,2,eu-001,102,480,482,747,102,128,676,684
125,1,2,eu-001,102,480,482,747,321,326,676,684
