Var4_img2.jpg Grila: Fizica 4, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var4_img4.jpg Grila: Fizica 4, [11 Matematica], [9 Fizica]. Nota finala: 7.0
Var4_img5.jpg Grila: Fizica 4, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var4_img7.jpg Grila: Fizica 4, [11 Matematica], [8 Fizica]. Nota finala: 6.7
Var4_img8.jpg Grila: Fizica 4, [12 Matematica], [13 Fizica]. Nota finala: 8.5
Var4_img9.jpg Grila: Fizica 4, [5 Matematica], [8 Fizica]. Nota finala: 4.9
Var4_img10.jpg Grila: Fizica 4, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var4_img11.jpg Grila: Fizica 4, [12 Matematica], [11 Fizica]. Nota finala: 7.9
Var4_img17.jpg Grila: Fizica 4, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var4_img18.jpg Grila: Fizica 4, [9 Matematica], [6 Fizica]. Nota finala: 5.5
Var4_img19.jpg Grila: Fizica 4, [8 Matematica], [8 Fizica]. Nota finala: 5.8
Var4_img22.jpg Grila: Fizica 4, [15 Matematica], [12 Fizica]. Nota finala: 9.1
Var4_img23.jpg Grila: Fizica 4, [9 Matematica], [8 Fizica]. Nota finala: 6.1
Var4_img25.jpg Grila: Fizica 4, [5 Matematica], [4 Fizica]. Nota finala: 3.7
Var4_img26.jpg Grila: Fizica 4, [14 Matematica], [12 Fizica]. Nota finala: 8.8
Var4_img29.jpg Grila: Fizica 4, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var4_img30.jpg Grila: Fizica 4, [7 Matematica], [6 Fizica]. Nota finala: 4.9
Var4_img34.jpg Grila: Fizica 4, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var4_img36.jpg Grila: Fizica 4, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var4_img38.jpg Grila: Fizica 4, [5 Matematica], [7 Fizica]. Nota finala: 4.6
Var4_img39.jpg Grila: Fizica 4, [13 Matematica], [8 Fizica]. Nota finala: 7.3
Var4_img43.jpg Grila: Fizica 4, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var4_img44.jpg Grila: Fizica 4, [12 Matematica], [11 Fizica]. Nota finala: 7.9
Var4_img45.jpg Grila: Fizica 4, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var4_img46.jpg Grila: Fizica 4, [9 Matematica], [8 Fizica]. Nota finala: 6.1
Var4_img47.jpg Grila: Fizica 4, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var4_img50.jpg Grila: Fizica 4, [8 Matematica], [9 Fizica]. Nota finala: 6.1
Var4_img51.jpg Grila: Fizica 4, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var4_img52.jpg Grila: Fizica 4, [14 Matematica], [11 Fizica]. Nota finala: 8.5
Var4_img53.jpg Grila: Fizica 4, [8 Matematica], [9 Fizica]. Nota finala: 6.1
Var4_img55.jpg Grila: Fizica 4, [9 Matematica], [12 Fizica]. Nota finala: 7.3
Var4_img56.jpg Grila: Fizica 4, [9 Matematica], [10 Fizica]. Nota finala: 6.7
Var4_img63.jpg Grila: Fizica 4, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var4_img64.jpg Grila: Fizica 4, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var4_img66.jpg Grila: Fizica 4, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var4_img69.jpg Grila: Fizica 4, [6 Matematica], [8 Fizica]. Nota finala: 5.2
Var4_img71.jpg Grila: Fizica 4, [9 Matematica], [10 Fizica]. Nota finala: 6.7
Var4_img72.jpg Grila: Fizica 4, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var4_img74.jpg Grila: Fizica 4, [13 Matematica], [10 Fizica]. Nota finala: 7.9
