Var3_img2.jpg Grila: Informatica 3, [7 Matematica], [7 Informatica]. Nota finala: 5.2
Var3_img3.jpg Grila: Informatica 3, [5 Matematica], [5 Informatica]. Nota finala: 4.0
Var3_img6.jpg Grila: Informatica 3, [11 Matematica], [11 Informatica]. Nota finala: 7.6
Var3_img10.jpg Grila: Informatica 3, [8 Matematica], [10 Informatica]. Nota finala: 6.4
Var3_img11.jpg Grila: Informatica 3, [9 Matematica], [9 Informatica]. Nota finala: 6.4
Var3_img13.jpg Grila: Informatica 3, [6 Matematica], [7 Informatica]. Nota finala: 4.9
Var3_img15.jpg Grila: Informatica 3, [12 Matematica], [4 Informatica]. Nota finala: 5.8
Var3_img17.jpg Grila: Informatica 3, [11 Matematica], [11 Informatica]. Nota finala: 7.6
Var3_img18.jpg Grila: Informatica 3, [4 Matematica], [6 Informatica]. Nota finala: 4.0
Var3_img19.jpg Grila: Informatica 3, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var3_img20.jpg Grila: Informatica 3, [10 Matematica], [2 Informatica]. Nota finala: 4.6
Var3_img23.jpg Grila: Informatica 3, [7 Matematica], [6 Informatica]. Nota finala: 4.9
Var3_img24.jpg Grila: Informatica 3, [8 Matematica], [7 Informatica]. Nota finala: 5.5
Var3_img25.jpg Grila: Informatica 3, [8 Matematica], [8 Informatica]. Nota finala: 5.8
Var3_img26.jpg Grila: Informatica 3, [9 Matematica], [4 Informatica]. Nota finala: 4.9
Var3_img30.jpg Grila: Informatica 3, [4 Matematica], [3 Informatica]. Nota finala: 3.1
Var3_img33.jpg Grila: Informatica 3, [8 Matematica], [7 Informatica]. Nota finala: 5.5
Var3_img34.jpg Grila: Informatica 3, [8 Matematica], [9 Informatica]. Nota finala: 6.1
Var3_img37.jpg Grila: Informatica 3, [12 Matematica], [11 Informatica]. Nota finala: 7.9
Var3_img40.jpg Grila: Informatica 3, [5 Matematica], [7 Informatica]. Nota finala: 4.6
Var3_img41.jpg Grila: Informatica 3, [12 Matematica], [11 Informatica]. Nota finala: 7.9
Var3_img43.jpg Grila: Informatica 3, [7 Matematica], [6 Informatica]. Nota finala: 4.9
Var3_img44.jpg Grila: Informatica 3, [10 Matematica], [4 Informatica]. Nota finala: 5.2
Var3_img46.jpg Grila: Informatica 3, [15 Matematica], [13 Informatica]. Nota finala: 9.4
Var3_img48.jpg Grila: Informatica 3, [2 Matematica], [2 Informatica]. Nota finala: 2.2
Var3_img49.jpg Grila: Informatica 3, [9 Matematica], [5 Informatica]. Nota finala: 5.2
Var3_img50.jpg Grila: Informatica 3, [5 Matematica], [2 Informatica]. Nota finala: 3.1
Var3_img53.jpg Grila: Informatica 3, [8 Matematica], [6 Informatica]. Nota finala: 5.2
Var3_img56.jpg Grila: Informatica 3, [0 Matematica], [3 Informatica]. Nota finala: 1.9
Var3_img58.jpg Grila: Informatica 3, [9 Matematica], [8 Informatica]. Nota finala: 6.1
Var3_img59.jpg Grila: Informatica 3, [8 Matematica], [3 Informatica]. Nota finala: 4.3
Var3_img61.jpg Grila: Informatica 3, [11 Matematica], [8 Informatica]. Nota finala: 6.7
Var3_img63.jpg Grila: Informatica 3, [7 Matematica], [6 Informatica]. Nota finala: 4.9
Var3_img67.jpg Grila: Informatica 3, [7 Matematica], [10 Informatica]. Nota finala: 6.1
Var3_img70.jpg Grila: Informatica 3, [14 Matematica], [12 Informatica]. Nota finala: 8.8
Var3_img73.jpg Grila: Informatica 3, [5 Matematica], [6 Informatica]. Nota finala: 4.3
Var3_img74.jpg Grila: Informatica 3, [3 Matematica], [5 Informatica]. Nota finala: 3.4
Var3_img75.jpg Grila: Informatica 3, [7 Matematica], [7 Informatica]. Nota finala: 5.2
Var3_img78.jpg Grila: Informatica 3, [9 Matematica], [4 Informatica]. Nota finala: 4.9
Var3_img82.jpg Grila: Informatica 3, [10 Matematica], [9 Informatica]. Nota finala: 6.7
Var3_img85.jpg Grila: Informatica 3, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var3_img91.jpg Grila: Informatica 3, [12 Matematica], [7 Informatica]. Nota finala: 6.7
Var3_img93.jpg Grila: Informatica 3, [13 Matematica], [12 Informatica]. Nota finala: 8.5
Var3_img95.jpg Grila: Informatica 3, [7 Matematica], [5 Informatica]. Nota finala: 4.6
Var3_img97.jpg Grila: Informatica 3, [5 Matematica], [6 Informatica]. Nota finala: 4.3
