Var1_img1.jpg Grila: Fizica 1, [13 Matematica], [5 Fizica]. Nota finala: 6.4
Var1_img2.jpg Grila: Fizica 1, [7 Matematica], [8 Fizica]. Nota finala: 5.5
Var1_img6.jpg Grila: Fizica 1, [8 Matematica], [10 Fizica]. Nota finala: 6.4
Var1_img8.jpg Grila: Fizica 1, [10 Matematica], [13 Fizica]. Nota finala: 7.9
Var1_img11.jpg Grila: Fizica 1, [9 Matematica], [5 Fizica]. Nota finala: 5.2
Var1_img13.jpg Grila: Fizica 1, [13 Matematica], [4 Fizica]. Nota finala: 6.1
Var1_img18.jpg Grila: Fizica 1, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var1_img21.jpg Grila: Fizica 1, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var1_img22.jpg Grila: Fizica 1, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var1_img23.jpg Grila: Fizica 1, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var1_img26.jpg Grila: Fizica 1, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var1_img27.jpg Grila: Fizica 1, [12 Matematica], [12 Fizica]. Nota finala: 8.2
Var1_img28.jpg Grila: Fizica 1, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var1_img29.jpg Grila: Fizica 1, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var1_img30.jpg Grila: Fizica 1, [11 Matematica], [8 Fizica]. Nota finala: 6.7
Var1_img31.jpg Grila: Fizica 1, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var1_img32.jpg Grila: Fizica 1, [7 Matematica], [9 Fizica]. Nota finala: 5.8
Var1_img34.jpg Grila: Fizica 1, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var1_img37.jpg Grila: Fizica 1, [4 Matematica], [6 Fizica]. Nota finala: 4.0
Var1_img38.jpg Grila: Fizica 1, [7 Matematica], [6 Fizica]. Nota finala: 4.9
Var1_img39.jpg Grila: Fizica 1, [12 Matematica], [11 Fizica]. Nota finala: 7.9
Var1_img40.jpg Grila: Fizica 1, [15 Matematica], [13 Fizica]. Nota finala: 9.4
Var1_img41.jpg Grila: Fizica 1, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var1_img45.jpg Grila: Fizica 1, [15 Matematica], [11 Fizica]. Nota finala: 8.8
Var1_img46.jpg Grila: Fizica 1, [8 Matematica], [11 Fizica]. Nota finala: 6.7
Var1_img49.jpg Grila: Fizica 1, [6 Matematica], [9 Fizica]. Nota finala: 5.5
Var1_img50.jpg Grila: Fizica 1, [13 Matematica], [11 Fizica]. Nota finala: 8.2
Var1_img51.jpg Grila: Fizica 1, [15 Matematica], [14 Fizica]. Nota finala: 9.7
Var1_img52.jpg Grila: Fizica 1, [7 Matematica], [11 Fizica]. Nota finala: 6.4
Var1_img56.jpg Grila: Fizica 1, [9 Matematica], [7 Fizica]. Nota finala: 5.8
Var1_img59.jpg Grila: Fizica 1, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var1_img62.jpg Grila: Fizica 1, [11 Matematica], [8 Fizica]. Nota finala: 6.7
Var1_img63.jpg Grila: Fizica 1, [9 Matematica], [11 Fizica]. Nota finala: 7.0
Var1_img64.jpg Grila: Fizica 1, [11 Matematica], [8 Fizica]. Nota finala: 6.7
Var1_img68.jpg Grila: Fizica 1, [6 Matematica], [6 Fizica]. Nota finala: 4.6
Var1_img69.jpg Grila: Fizica 1, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var1_img74.jpg Grila: Fizica 1, [14 Matematica], [12 Fizica]. Nota finala: 8.8
Var1_img75.jpg Grila: Fizica 1, [12 Matematica], [9 Fizica]. Nota finala: 7.3
Var1_img78.jpg Grila: Fizica 1, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var1_img79.jpg Grila: Fizica 1, [13 Matematica], [14 Fizica]. Nota finala: 9.1
Var1_img81.jpg Grila: Fizica 1, [5 Matematica], [11 Fizica]. Nota finala: 5.8
Var1_img82.jpg Grila: Fizica 1, [8 Matematica], [7 Fizica]. Nota finala: 5.5
Var1_img86.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
Var1_img87.jpg Grila: Fizica 1, [3 Matematica], [7 Fizica]. Nota finala: 4.0
Var1_img88.jpg Grila: Fizica 1, [13 Matematica], [8 Fizica]. Nota finala: 7.3
Var1_img89.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var1_img90.jpg Grila: Fizica 1, [8 Matematica], [4 Fizica]. Nota finala: 4.6
Var1_img92.jpg Grila: Fizica 1, [9 Matematica], [10 Fizica]. Nota finala: 6.7
Var1_img93.jpg Grila: Fizica 1, [8 Matematica], [4 Fizica]. Nota finala: 4.6
Var1_img95.jpg Grila: Fizica 1, [12 Matematica], [13 Fizica]. Nota finala: 8.5
Var1_img98.jpg Grila: Fizica 1, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var1_img99.jpg Grila: Fizica 1, [13 Matematica], [13 Fizica]. Nota finala: 8.8
