img1_F3.jpg Grila: Fizica 3, [6 Matematica], [6 Fizica]. Nota finala: 4.6
img8_F3.jpg Grila: Fizica 3, [9 Matematica], [13 Fizica]. Nota finala: 7.6
img10_F3.jpg Grila: Fizica 3, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img11_F3.jpg Grila: Fizica 3, [6 Matematica], [7 Fizica]. Nota finala: 4.9
img15_F3.jpg Grila: Fizica 3, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img18_F3.jpg Grila: Fizica 3, [8 Matematica], [7 Fizica]. Nota finala: 5.5
img22_F3.jpg Grila: Fizica 3, [10 Matematica], [9 Fizica]. Nota finala: 6.7
img35_F3.jpg Grila: Fizica 3, [8 Matematica], [9 Fizica]. Nota finala: 6.1
img48_F3.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img51_F3.jpg Grila: Fizica 3, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img55_F3.jpg Grila: Fizica 3, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img57_F3.jpg Grila: Fizica 3, [12 Matematica], [10 Fizica]. Nota finala: 7.6
img59_F3.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img70_F3.jpg Grila: Fizica 3, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img71_F3.jpg Grila: Fizica 3, [14 Matematica], [12 Fizica]. Nota finala: 8.8
img77_F3.jpg Grila: Fizica 3, [12 Matematica], [8 Fizica]. Nota finala: 7.0
img87_F3.jpg Grila: Fizica 3, [14 Matematica], [12 Fizica]. Nota finala: 8.8
img97_F3.jpg Grila: Fizica 3, [8 Matematica], [12 Fizica]. Nota finala: 7.0
img100_F3.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img104_F3.jpg Grila: Fizica 3, [11 Matematica], [13 Fizica]. Nota finala: 8.2
img120_F3.jpg Grila: Fizica 3, [13 Matematica], [11 Fizica]. Nota finala: 8.2
img122_F3.jpg Grila: Fizica 3, [8 Matematica], [12 Fizica]. Nota finala: 7.0
img123_F3.jpg Grila: Fizica 3, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img143_F3.jpg Grila: Fizica 3, [12 Matematica], [10 Fizica]. Nota finala: 7.6
img150_F3.jpg Grila: Fizica 3, [14 Matematica], [11 Fizica]. Nota finala: 8.5
img151_F3.jpg Grila: Fizica 3, [3 Matematica], [4 Fizica]. Nota finala: 3.1
img152_F3.jpg Grila: Fizica 3, [12 Matematica], [8 Fizica]. Nota finala: 7.0
img153_F3.jpg Grila: Fizica 3, [9 Matematica], [11 Fizica]. Nota finala: 7.0
img156_F3.jpg Grila: Fizica 3, [5 Matematica], [8 Fizica]. Nota finala: 4.9
img159_F3.jpg Grila: Fizica 3, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img163_F3.jpg Grila: Fizica 3, [11 Matematica], [9 Fizica]. Nota finala: 7.0
img172_F3.jpg Grila: Fizica 3, [6 Matematica], [7 Fizica]. Nota finala: 4.9
