Var1_img3.jpg Grila: Informatica 1, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var1_img4.jpg Grila: Informatica 1, [8 Matematica], [7 Informatica]. Nota finala: 5.5
Var1_img5.jpg Grila: Informatica 1, [7 Matematica], [6 Informatica]. Nota finala: 4.9
Var1_img7.jpg Grila: Informatica 1, [4 Matematica], [3 Informatica]. Nota finala: 3.1
Var1_img9.jpg Grila: Informatica 1, [11 Matematica], [9 Informatica]. Nota finala: 7.0
Var1_img10.jpg Grila: Informatica 1, [6 Matematica], [3 Informatica]. Nota finala: 3.7
Var1_img12.jpg Grila: Informatica 1, [8 Matematica], [6 Informatica]. Nota finala: 5.2
Var1_img14.jpg Grila: Informatica 1, [11 Matematica], [11 Informatica]. Nota finala: 7.6
Var1_img15.jpg Grila: Informatica 1, [5 Matematica], [5 Informatica]. Nota finala: 4.0
Var1_img16.jpg Grila: Informatica 1, [7 Matematica], [8 Informatica]. Nota finala: 5.5
Var1_img17.jpg Grila: Informatica 1, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var1_img19.jpg Grila: Informatica 1, [5 Matematica], [5 Informatica]. Nota finala: 4.0
Var1_img20.jpg Grila: Informatica 1, [9 Matematica], [13 Informatica]. Nota finala: 7.6
Var1_img24.jpg Grila: Informatica 1, [7 Matematica], [5 Informatica]. Nota finala: 4.6
Var1_img25.jpg Grila: Informatica 1, [10 Matematica], [11 Informatica]. Nota finala: 7.3
Var1_img33.jpg Grila: Informatica 1, [4 Matematica], [8 Informatica]. Nota finala: 4.6
Var1_img35.jpg Grila: Informatica 1, [8 Matematica], [4 Informatica]. Nota finala: 4.6
Var1_img36.jpg Grila: Informatica 1, [10 Matematica], [6 Informatica]. Nota finala: 5.8
Var1_img42.jpg Grila: Informatica 1, [6 Matematica], [7 Informatica]. Nota finala: 4.9
Var1_img43.jpg Grila: Informatica 1, [8 Matematica], [3 Informatica]. Nota finala: 4.3
Var1_img44.jpg Grila: Informatica 1, [3 Matematica], [7 Informatica]. Nota finala: 4.0
Var1_img47.jpg Grila: Informatica 1, [10 Matematica], [6 Informatica]. Nota finala: 5.8
Var1_img48.jpg Grila: Informatica 1, [8 Matematica], [5 Informatica]. Nota finala: 4.9
Var1_img53.jpg Grila: Informatica 1, [7 Matematica], [8 Informatica]. Nota finala: 5.5
Var1_img54.jpg Grila: Informatica 1, [8 Matematica], [4 Informatica]. Nota finala: 4.6
Var1_img55.jpg Grila: Informatica 1, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var1_img57.jpg Grila: Informatica 1, [11 Matematica], [3 Informatica]. Nota finala: 5.2
Var1_img58.jpg Grila: Informatica 1, [9 Matematica], [8 Informatica]. Nota finala: 6.1
Var1_img60.jpg Grila: Informatica 1, [8 Matematica], [6 Informatica]. Nota finala: 5.2
Var1_img61.jpg Grila: Informatica 1, [8 Matematica], [6 Informatica]. Nota finala: 5.2
Var1_img65.jpg Grila: Informatica 1, [9 Matematica], [6 Informatica]. Nota finala: 5.5
Var1_img66.jpg Grila: Informatica 1, [9 Matematica], [5 Informatica]. Nota finala: 5.2
Var1_img67.jpg Grila: Informatica 1, [8 Matematica], [7 Informatica]. Nota finala: 5.5
Var1_img70.jpg Grila: Informatica 1, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var1_img71.jpg Grila: Informatica 1, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var1_img72.jpg Grila: Informatica 1, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var1_img73.jpg Grila: Informatica 1, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var1_img76.jpg Grila: Informatica 1, [4 Matematica], [7 Informatica]. Nota finala: 4.3
Var1_img77.jpg Grila: Informatica 1, [11 Matematica], [12 Informatica]. Nota finala: 7.9
Var1_img80.jpg Grila: Informatica 1, [7 Matematica], [8 Informatica]. Nota finala: 5.5
Var1_img83.jpg Grila: Informatica 1, [11 Matematica], [11 Informatica]. Nota finala: 7.6
Var1_img84.jpg Grila: Informatica 1, [12 Matematica], [5 Informatica]. Nota finala: 6.1
Var1_img85.jpg Grila: Informatica 1, [12 Matematica], [4 Informatica]. Nota finala: 5.8
Var1_img91.jpg Grila: Informatica 1, [4 Matematica], [6 Informatica]. Nota finala: 4.0
Var1_img94.jpg Grila: Informatica 1, [7 Matematica], [10 Informatica]. Nota finala: 6.1
Var1_img96.jpg Grila: Informatica 1, [5 Matematica], [7 Informatica]. Nota finala: 4.6
Var1_img97.jpg Grila: Informatica 1, [8 Matematica], [2 Informatica]. Nota finala: 4.0
